case_id,geometry_id,family,direction,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy
BASE-L24-S1901-X,BASE-L24-S1901,BASELINE,X,0.36820023148148145,0.36820023148148145,0.36820023148148145,0.36820023148148145,0.2175925925925926,1.0,1.7320508075688772,3.1622776601683795,0,1.3436505911342587,0.6426349225323602,0.46429081278605777,0.75616809740705,0.7259326409646529
BASE-L24-S2003-X,BASE-L24-S2003,BASELINE,X,0.3855613425925926,0.3855613425925926,0.3855613425925926,0.3855613425925926,0.1802662037037037,1.0,2.23606797749979,4.242640687119285,0,1.0679230724977238,0.55526130166544,0.32805805027202384,0.5866210475056785,0.7555559715236465
BASE-L24-S211-X,BASE-L24-S211,BASELINE,X,0.41695601851851855,0.41695601851851855,0.41695601851851855,0.41695601851851855,0.19299768518518517,1.0,2.23606797749979,4.58257569495584,-1,1.252975642989879,0.6321871912989575,0.4176516195957464,0.7260688739190388,0.7325444697743325
BASE-L24-S2111-X,BASE-L24-S2111,BASELINE,X,0.38816550925925924,0.38816550925925924,0.38816550925925924,0.38816550925925924,0.2037037037037037,1.0,2.0,3.605551275463989,1,1.473088946501256,0.6692289358209761,0.5232367426694235,0.7574142183959083,0.7041306429203544
BASE-L24-S2203-X,BASE-L24-S2203,BASELINE,X,0.4113136574074074,0.4113136574074074,0.4113136574074074,0.4113136574074074,0.19212962962962962,1.0,2.0,4.123105625617661,1,1.488721587885172,0.6804473692905266,0.5383386628479171,0.7706252087173073,0.6920125816815215
BASE-L24-S2309-X,BASE-L24-S2309,BASELINE,X,0.4097222222222222,0.4097222222222222,0.4097222222222222,0.4097222222222222,0.19835069444444445,1.0,2.0,4.123105625617661,-1,1.2849499287540203,0.6340777845194367,0.4537088677329121,0.7049849896157634,0.7322969296981428
BASE-L24-S2411-X,BASE-L24-S2411,BASELINE,X,0.42679398148148145,0.42679398148148145,0.42679398148148145,0.42679398148148145,0.1875,1.0,2.23606797749979,4.358898943540674,1,1.447143306239245,0.6762347486589706,0.5343701226170581,0.7896407898323907,0.6949880204241382
BASE-L24-S307-X,BASE-L24-S307,BASELINE,X,0.30656828703703703,0.30656828703703703,0.30656828703703703,0.30656828703703703,0.16666666666666666,1.0,2.0,4.0,-1,1.557225014281792,0.7084711575672265,0.5628228633538409,0.8375259015309923,0.6558158271325146
BASE-L24-S401-X,BASE-L24-S401,BASELINE,X,0.3609664351851852,0.3609664351851852,0.3609664351851852,0.3609664351851852,0.17201967592592593,1.0,2.0,4.123105625617661,0,1.4391097838302183,0.6827349097794437,0.46957795606024066,0.8256433256502965,0.6789487767840878
BASE-L24-S503-X,BASE-L24-S503,BASELINE,X,0.38722511574074076,0.38722511574074076,0.38722511574074076,0.38722511574074076,0.1775173611111111,1.0,2.23606797749979,4.47213595499958,-1,1.5017359349151296,0.6912989552601011,0.526284456063969,0.8197063857242147,0.6774468566817127
